address,port
45.76.65.223,18888
45.32.71.82,18888
139.99.9.173,19999
139.99.9.146,19999
139.99.9.106,19999
103.3.62.64,19999
139.99.9.173,18888
139.99.9.146,18888
139.99.9.106,18888
103.3.62.64,18888
92.222.180.119,6666
79.137.82.104,6666
159.89.11.225,6666
198.251.88.37,6666
185.71.66.20,6666
92.222.180.119,16666
79.137.82.104,16666
159.89.11.225,16666
198.251.88.37,16666
185.71.66.20,16666
198.251.88.37,6666
159.89.11.225,6666
207.154.213.72,6666
198.251.88.21,6666
79.137.82.70,6666
207.154.194.32,6666
92.222.180.118,6666
198.251.88.37,16666
159.89.11.225,16666
207.154.213.72,16666
198.251.88.21,16666
79.137.82.70,16666
207.154.194.32,16666
92.222.180.118,16666
142.44.243.6,6666
142.44.242.100,6666
192.99.69.170,6666
142.44.243.6,16666
142.44.242.100,16666
192.99.69.170,16666
45.63.61.87,6666
45.32.71.82,6666
45.76.65.223,6666
45.63.61.87,16666
45.32.71.82,16666
45.76.65.223,16666
139.99.9.146,6666
139.99.9.106,6666
103.3.62.64,6666
139.99.9.173,6666
139.99.9.146,16666
139.99.9.106,16666
103.3.62.64,16666
139.99.9.173,16666
198.251.88.16,14444
185.71.66.31,14444
138.197.183.116,14444
198.251.88.21,14444
207.154.226.213,14444
198.251.88.14,14444
198.251.88.37,14444
198.251.88.21,14444
92.222.180.118,14444
185.71.66.31,14444
198.251.88.37,14444
198.251.88.16,14444
79.137.82.70,14444
207.154.226.213,14444
207.154.194.32,14444
138.197.183.116,14444
207.154.213.72,14444
142.44.243.6,14444
192.99.69.170,14444
142.44.242.100,14444
45.63.61.87,14444
45.76.65.223,14444
45.32.71.82,14444
103.3.62.64,14444
139.99.9.106,14444
139.99.9.146,14444
139.99.9.173,14444
149.56.26.222,3333
149.56.26.222,3333
91.121.223.53,3333
91.121.73.83,3333
46.105.97.72,3333
188.165.235.31,3333
139.99.8.66,3333
47.95.166.154,3333
47.95.166.154,13333
39.106.240.133,3333
39.106.240.133,13333
47.95.126.45,3333
47.95.126.45,13333
39.106.240.133,3333
39.106.240.133,13333
87.98.182.61,8008
144.217.139.192,8008
144.217.149.131,8008
209.141.38.185,8008
87.98.182.61,8008
209.58.180.61,8008
106.14.95.39,8008
47.93.159.173,8008
209.58.180.61,8008
163.47.16.147,8008
83.222.114.66,8008
47.90.4.177,8008
177.54.152.154,8008
168.181.187.15,8008
178.32.145.31,8005
79.137.57.106,8005
178.32.196.217,8005
178.32.145.31,8050
79.137.57.106,8050
178.32.196.217,8050
178.32.145.31,8100
79.137.57.106,8100
178.32.196.217,8100
178.32.145.31,8200
79.137.57.106,8200
178.32.196.217,8200
178.32.145.31,8080
79.137.57.106,8080
178.32.196.217,8080
178.32.145.31,9050
79.137.57.106,9050
178.32.196.217,9050
178.32.145.31,9100
79.137.57.106,9100
178.32.196.217,9100
178.32.145.31,9500
79.137.57.106,9500
178.32.196.217,9500
144.217.117.111,8080
66.70.234.210,8080
144.217.101.20,8080
144.217.61.241,8080
144.217.117.111,8005
66.70.234.210,8005
144.217.101.20,8005
144.217.61.241,8005
144.217.117.111,8050
66.70.234.210,8050
144.217.101.20,8050
144.217.61.241,8050
144.217.117.111,8100
66.70.234.210,8100
144.217.101.20,8100
144.217.61.241,8100
144.217.117.111,8200
66.70.234.210,8200
144.217.101.20,8200
144.217.61.241,8200
144.217.117.111,9050
66.70.234.210,9050
144.217.101.20,9050
144.217.61.241,9050
144.217.117.111,9100
66.70.234.210,9100
144.217.101.20,9100
144.217.61.241,9100
144.217.117.111,9500
66.70.234.210,9500
144.217.101.20,9500
144.217.61.241,9500
192.81.129.199,20535
45.56.113.50,20535
192.81.129.199,20536
45.56.113.50,20536
192.81.129.199,20537
45.56.113.50,20537
192.81.129.199,20555
45.56.113.50,20555
192.81.129.199,20556
45.56.113.50,20556
178.79.168.110,20535
139.162.131.165,20535
178.79.168.110,20536
139.162.131.165,20536
178.79.168.110,20537
139.162.131.165,20537
178.79.168.110,20555
139.162.131.165,20555
172.104.117.164,20535
172.104.95.242,20535
172.104.174.99,20535
139.162.114.79,20535
172.104.94.4,20535
172.104.106.83,20535
172.104.121.164,20535
139.162.113.200,20535
139.162.89.79,20535
172.104.109.135,20535
172.104.73.213,20535
172.104.87.147,20535
172.104.105.159,20535
172.104.168.227,20535
139.162.120.161,20535
172.104.117.164,20536
172.104.95.242,20536
172.104.174.99,20536
139.162.114.79,20536
172.104.94.4,20536
172.104.106.83,20536
172.104.121.164,20536
139.162.113.200,20536
139.162.89.79,20536
172.104.109.135,20536
172.104.73.213,20536
172.104.87.147,20536
172.104.105.159,20536
172.104.168.227,20536
139.162.120.161,20536
172.104.117.164,20537
172.104.95.242,20537
172.104.174.99,20537
139.162.114.79,20537
172.104.94.4,20537
172.104.106.83,20537
172.104.121.164,20537
139.162.113.200,20537
139.162.89.79,20537
172.104.109.135,20537
172.104.73.213,20537
172.104.87.147,20537
172.104.105.159,20537
172.104.168.227,20537
139.162.120.161,20537
172.104.117.164,20555
172.104.95.242,20555
172.104.174.99,20555
139.162.114.79,20555
172.104.94.4,20555
172.104.106.83,20555
172.104.121.164,20555
139.162.113.200,20555
139.162.89.79,20555
172.104.109.135,20555
172.104.73.213,20555
172.104.87.147,20555
172.104.105.159,20555
172.104.168.227,20555
139.162.120.161,20555
172.104.117.164,20556
172.104.95.242,20556
172.104.174.99,20556
139.162.114.79,20556
172.104.94.4,20556
172.104.106.83,20556
172.104.121.164,20556
139.162.113.200,20556
139.162.89.79,20556
172.104.109.135,20556
172.104.73.213,20556
172.104.87.147,20556
172.104.105.159,20556
172.104.168.227,20556
139.162.120.161,20556
54.209.131.18,20465
54.209.17.31,20465
54.209.131.18,20507
54.209.17.31,20507
54.209.131.18,20460
54.209.17.31,20460
172.104.49.55,20580
45.79.204.241,20580
172.104.76.21,20580
45.79.192.137,20580
172.104.143.224,20580
172.104.151.232,20580
45.79.210.48,20580
45.79.200.97,20580
139.162.60.220,20580
172.104.148.42,20580
45.79.217.166,20580
139.162.132.70,20580
45.79.207.32,20580
172.104.94.15,20580
45.79.217.166,20580
172.104.143.224,20580
172.104.49.55,20580
45.79.207.32,20580
45.79.192.137,20580
139.162.132.70,20580
172.104.94.15,20580
45.79.210.48,20580
172.104.148.42,20580
45.79.200.97,20580
172.104.76.21,20580
45.79.204.241,20580
139.162.60.220,20580
172.104.151.232,20580
45.79.210.48,20580
172.104.94.15,20580
172.104.151.232,20580
172.104.148.42,20580
172.104.49.55,20580
172.104.76.21,20580
45.79.217.166,20580
45.79.192.137,20580
45.79.207.32,20580
139.162.60.220,20580
45.79.200.97,20580
45.79.204.241,20580
172.104.143.224,20580
139.162.132.70,20580
172.104.94.15,20580
45.79.204.241,20580
139.162.132.70,20580
45.79.192.137,20580
139.162.60.220,20580
172.104.151.232,20580
172.104.143.224,20580
172.104.76.21,20580
45.79.207.32,20580
45.79.217.166,20580
172.104.49.55,20580
45.79.200.97,20580
172.104.148.42,20580
45.79.210.48,20580
172.104.76.21,20580
45.79.204.241,20580
139.162.132.70,20580
45.79.210.48,20580
45.79.200.97,20580
45.79.207.32,20580
172.104.151.232,20580
172.104.148.42,20580
172.104.143.224,20580
139.162.60.220,20580
172.104.49.55,20580
45.79.217.166,20580
45.79.192.137,20580
172.104.94.15,20580
45.79.217.166,20580
172.104.94.15,20580
45.79.207.32,20580
172.104.76.21,20580
45.79.200.97,20580
139.162.132.70,20580
45.79.204.241,20580
45.79.210.48,20580
139.162.60.220,20580
45.79.192.137,20580
172.104.148.42,20580
172.104.151.232,20580
172.104.49.55,20580
172.104.143.224,20580
45.79.223.173,20570
139.162.138.168,20570
139.162.73.35,20570
139.162.66.203,20570
178.217.186.125,3344
178.217.186.125,3345
178.217.186.125,3334
178.217.186.125,3834
178.217.186.125,3341
178.217.186.125,3346
178.217.186.125,3347
178.217.186.125,3340
178.217.186.125,3338
169.50.175.203,3353
5.153.50.217,3353
169.45.93.83,3353
198.23.94.139,3353
119.81.237.168,3353
119.81.183.183,3353
161.202.68.92,3353
161.202.68.88,3353
169.38.66.192,3353
169.38.65.14,3353
169.57.150.34,3353
169.57.168.5,3353
5.19.6.173,5085
5.19.6.173,5076
5.19.6.173,8008
103.208.27.165,8008
103.208.27.165,8008
43.229.78.81,8008
103.208.27.165,8008
43.229.78.81,8008
165.227.126.82,8008
46.101.83.30,8008
138.201.246.186,8008
138.201.246.186,8888
37.19.7.83,8008
37.19.7.83,8888
174.138.45.55,8008
46.101.212.237,8008
167.88.15.87,3333
139.129.252.87,8888
139.129.252.87,5588
139.129.252.27,8888
139.129.252.27,5588
95.85.41.125,80
95.85.41.125,443
95.85.41.125,10000
95.85.41.125,9991
37.187.149.70,2142
158.69.52.135,2142
120.77.57.63,2142
46.105.114.185,2142
46.105.114.185,2142
139.99.8.92,6099
144.76.166.15,6099
139.99.8.92,6090
144.76.166.15,6090
139.99.8.92,6050
144.76.166.15,6050
139.99.8.92,10001
144.76.166.15,10001
147.135.221.69,7007
147.135.221.69,7017
147.135.221.69,8088
137.74.1.208,7007
137.74.1.208,7017
137.74.1.208,8088
167.114.119.172,7007
167.114.119.172,7017
167.114.119.172,8088
103.47.209.66,7007
103.47.209.66,7017
103.47.209.66,8088
37.59.44.68,4444
91.121.87.10,4444
46.105.103.169,4444
188.165.254.85,4444
94.23.41.130,4444
91.121.2.76,4444
37.59.44.193,4444
37.59.56.102,4444
37.59.44.93,4444
37.187.154.79,4444
176.31.117.82,4444
94.23.212.204,4444
188.165.214.95,4444
37.59.51.212,4444
94.23.206.130,4444
188.165.199.78,4444
188.165.214.76,4444
37.59.54.205,4444
37.59.43.136,4444
37.59.45.174,4444
37.59.44.68,5555
91.121.87.10,5555
46.105.103.169,5555
188.165.254.85,5555
94.23.41.130,5555
91.121.2.76,5555
37.59.44.193,5555
37.59.56.102,5555
37.59.44.93,5555
37.187.154.79,5555
176.31.117.82,5555
94.23.212.204,5555
188.165.214.95,5555
37.59.51.212,5555
94.23.206.130,5555
188.165.199.78,5555
188.165.214.76,5555
37.59.54.205,5555
37.59.43.136,5555
37.59.45.174,5555
37.59.44.68,7777
91.121.87.10,7777
46.105.103.169,7777
188.165.254.85,7777
94.23.41.130,7777
91.121.2.76,7777
37.59.44.193,7777
37.59.56.102,7777
37.59.44.93,7777
37.187.154.79,7777
176.31.117.82,7777
94.23.212.204,7777
188.165.214.95,7777
37.59.51.212,7777
94.23.206.130,7777
188.165.199.78,7777
188.165.214.76,7777
37.59.54.205,7777
37.59.43.136,7777
37.59.45.174,7777
37.59.44.68,80
91.121.87.10,80
46.105.103.169,80
188.165.254.85,80
94.23.41.130,80
91.121.2.76,80
37.59.44.193,80
37.59.56.102,80
37.59.44.93,80
37.187.154.79,80
176.31.117.82,80
94.23.212.204,80
188.165.214.95,80
37.59.51.212,80
94.23.206.130,80
188.165.199.78,80
188.165.214.76,80
37.59.54.205,80
37.59.43.136,80
37.59.45.174,80
37.59.44.68,443
91.121.87.10,443
46.105.103.169,443
188.165.254.85,443
94.23.41.130,443
91.121.2.76,443
37.59.44.193,443
37.59.56.102,443
37.59.44.93,443
37.187.154.79,443
176.31.117.82,443
94.23.212.204,443
188.165.214.95,443
37.59.51.212,443
94.23.206.130,443
188.165.199.78,443
188.165.214.76,443
37.59.54.205,443
37.59.43.136,443
37.59.45.174,443
37.59.44.68,3333
91.121.87.10,3333
46.105.103.169,3333
188.165.254.85,3333
94.23.41.130,3333
91.121.2.76,3333
37.59.44.193,3333
37.59.56.102,3333
37.59.44.93,3333
37.187.154.79,3333
176.31.117.82,3333
94.23.212.204,3333
188.165.214.95,3333
37.59.51.212,3333
94.23.206.130,3333
188.165.199.78,3333
188.165.214.76,3333
37.59.54.205,3333
37.59.43.136,3333
37.59.45.174,3333
158.69.25.62,4444
158.69.25.77,4444
158.69.25.71,4444
167.114.210.141,4444
158.69.25.62,5555
158.69.25.77,5555
